week,posteam,noruns,nopass,noplays,touchdown,yards_gained,touchdown_rush,yards_rushing,epa
13,DAL,28,0,28,0,111,0,111,-5.62069782635081
13,DEN,33,0,33,0,179,0,179,2.51840506895624
13,DET,22,0,22,2,60,2,60,-2.71670979875489
13,GNB,25,0,25,1,149,1,149,2.85105545178521
13,HOU,19,0,19,2,90,2,90,-2.65429650197621
13,IND,29,0,29,1,109,1,109,-4.22479301993735
13,JAC,25,0,25,1,124,1,124,-3.77323585489648
13,KAN,22,0,22,0,134,0,134,3.44242853909964
13,LAC,15,0,15,0,70,0,70,1.13455338048516
13,LAR,31,0,31,3,119,3,119,-4.86887491618785
13,LVR,25,0,25,1,72,1,72,-2.96758592600236
13,MIA,28,0,28,0,110,0,110,-7.92968706169631
13,MIN,38,0,38,0,145,0,145,-8.16487599938409
13,NOR,36,0,36,1,207,1,207,3.1726752553368
13,NWE,43,0,43,2,165,2,165,1.23267290008542
13,NYG,31,0,31,1,190,1,190,2.60928660887294
13,NYJ,34,0,34,2,206,2,206,7.9897635425732
13,PHI,25,0,25,0,117,0,117,-2.2571757575497
13,PIT,14,0,14,0,21,0,21,-8.06881805683952
13,SEA,22,0,22,0,111,0,111,-6.28808086551726
13,SFO,21,0,21,0,86,0,86,-6.79739418023382
13,TEN,18,0,18,1,62,1,62,-9.55190719853272
13,WAS,21,0,21,1,45,1,45,-6.11213847671716
14,ARI,43,0,43,1,159,1,159,-3.44685493767576
14,ATL,20,0,20,0,70,0,70,-0.371644415077753
14,BAL,32,0,32,5,231,5,231,14.994276288955
14,BUF,27,0,27,0,104,0,104,-5.72391436772887
14,CAR,21,0,21,3,125,3,125,5.72485388594214
14,CHI,23,0,23,1,169,1,169,5.54637946520234
14,CIN,30,0,30,1,101,0,101,-24.6503541297279
14,CLE,28,0,28,4,138,4,138,6.5742615914638
14,DAL,25,0,25,0,101,0,101,-4.57441876683151
14,DEN,30,0,30,0,96,0,96,-2.88729066363885
14,DET,15,0,15,2,51,2,51,2.74701273615938
14,GNB,31,0,31,1,120,1,120,1.70748887985246
14,HOU,27,0,27,0,108,0,108,-4.87407422316028
14,IND,31,0,31,2,212,2,212,6.14930858814682
14,JAC,15,0,15,0,91,0,91,0.122469324734993
14,KAN,24,0,24,1,94,1,94,-1.70843372384262
14,LAC,26,0,26,0,105,0,105,-1.57355554174128
14,LAR,36,0,36,1,186,1,186,2.75297332426999
14,LVR,22,0,22,1,79,1,79,-0.502679891709704
14,MIA,24,0,24,1,80,1,80,-2.71999617913389
14,MIN,33,0,33,1,162,1,162,8.04816539213061
14,NOR,20,0,20,1,96,1,96,0.432967345463112
14,NWE,29,0,30,0,107,0,107,-7.08014048228506
14,NYG,17,0,17,1,78,1,78,-0.853555457375478
14,NYJ,23,0,23,0,69,0,69,-11.765342562343
14,PHI,36,0,36,2,246,2,246,0.146504902804736
14,PIT,17,0,17,0,47,0,47,-3.22732889308827
14,SEA,36,0,36,1,174,1,174,-0.673187647996769
14,SFO,27,0,27,1,108,1,108,-4.63765374937793
14,TAM,26,0,26,1,107,1,107,-1.46023412674549
14,TEN,40,0,40,2,249,2,249,8.18080354583799
14,WAS,28,0,28,0,98,0,98,-0.63577537832316
15,ARI,30,0,30,1,103,1,103,-5.54344716691412
15,ATL,13,0,13,0,37,0,37,-2.64269424119266
15,BAL,37,0,37,2,159,2,159,6.9553728827741
15,BUF,24,0,24,3,182,3,182,6.73315180274099
15,CAR,27,0,27,1,115,1,115,-2.6290878871223
15,CHI,42,0,42,2,199,2,199,3.80631724835274
15,CIN,41,0,41,2,152,2,152,-5.75454495079982
15,CLE,30,0,30,1,106,1,106,-3.96794880196103
15,DAL,22,0,22,2,87,2,87,-0.96583389810985
