"game_id","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date.x","season","game_date.y","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","last_300_median_DKP","last_300_median_FDP","last_600_median_DKP","last_600_median_FDP"
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","RyanMa00","QB","Matt Ryan","ATL",37,54,450,2,1,2,16,44,98.5,1,-1,0,-1,0,0,0,0,0,0,0,1,57,56,1,"ATL","SEA",0,0,0,1,0,0,27.9,27.9,23.9,23.9,507,5,19,4,-1,0,0,0,0,0,79,99,20.03,16.27,20.96,16.58
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","RidlCa00","WR","Calvin Ridley","ATL",0,0,0,0,0,0,0,0,0,1,-1,0,-1,12,9,130,2,22,0,0,1,1,0,1,"ATL","SEA",0,0,0,0,0,1,36.9,36.9,29.4,29.4,0,0,0,0,-1,0,0,141.6,21,0,68,85,19.55,16.05,18.45,15.2
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","JoneJu02","WR","Julio Jones ","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,157,0,44,0,0,0,0,0,0,"ATL","SEA",0,0,0,0,0,1,27.7,27.7,20.2,20.2,0,0,0,0,0,0,0,188.4,28,2,65,81,14.8,11.3,14.8,11.7
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","HursHa00","TE","Hayden Hurst","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,38,0,27,0,0,0,0,0,0,"ATL","SEA",0,0,0,0,0,0,6.8,6.8,5.3,5.3,0,0,0,0,0,0,0,38,25,0,63,79,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","GageRu00","WR","Russell Gage","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,114,0,24,0,0,0,0,0,0,"ATL","SEA",0,0,0,0,0,1,23.4,23.4,15.9,15.9,0,0,0,0,0,0,0,88.8,46,1,55,69,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","GurlTo01","RB","Todd Gurley","ATL",0,0,0,0,0,0,0,0,0,14,56,1,15,5,2,1,0,1,0,0,14,14,0,14,"ATL","SEA",0,0,0,0,0,0,13.7,13.7,12.7,12.7,0,0,0,0,35,21,0,4,2,1,36,45,12.85,11.35,19.7,17.2
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","StocLu00","TE","Luke Stocker","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATL","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,26,33,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","HillBr02","RB","Brian Hill","ATL",0,0,0,0,0,0,0,0,0,3,12,0,10,2,2,8,0,4,0,0,3,3,0,3,"ATL","SEA",0,0,0,0,0,0,4,4,3,3,0,0,0,0,6,6,0,7,1,0,21,26,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","SmitIt00","RB","Ito Smith","ATL",0,0,0,0,0,0,0,0,0,1,4,0,4,3,3,2,0,2,0,0,1,1,0,1,"ATL","SEA",0,0,0,0,0,0,3.6,3.6,2.1,2.1,0,0,0,0,3,1,0,-2.1,4,0,20,25,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","NeasSh00","SS","Sharrod Neasman","ATL",0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,1,1,0,1,"ATL","SEA",0,0,0,0,0,0,-0.8,-0.8,-1.8,-1.8,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA
