posteam,week,nodrives,noplays,noruns,nopass,sack,interception,incomplete_pass,complete_pass,notds,touchdown_rush,touchdown_pass,yards_gained,yards_passing,yards_receiving,yards_rushing,yards_after_catch,air_yards2,air_yards,epa,def_nodrives,def_noplays,def_noruns,def_nopass,def_sack,def_interception,def_incomplete_pass,def_complete_pass,def_notds,def_touchdown_rush,def_touchdown_pass,def_yards_gained,def_yards_passing,def_yards_receiving,def_yards_rushing,def_yards_after_catch,def_air_yards2,def_air_yards,def_epa
CIN,3,14,69,17,44,8,0,13,31,2,0,2,295,312,312,39,123,189,390,-0.121846539050719,13,86,36,47,3,2,16,29,2,1,1,378,225,225,172,104,121,353,-3.34543988342046
CIN,4,11,71,34,36,1,1,10,25,3,2,1,505,300,300,205,130,170,370,16.2997049600506,10,62,20,40,3,1,12,27,2,0,2,429,351,351,89,146,205,304,10.122805100699
CIN,5,12,65,28,30,7,1,10,19,1,0,0,205,183,183,70,85,98,220,-32.2882112270578,12,62,24,37,1,1,17,19,2,0,2,332,180,180,161,84,96,318,-4.22934487440005
CIN,6,11,73,32,39,2,1,13,25,3,3,0,398,313,313,98,130,183,344,14.5566617517389,11,60,15,44,1,1,14,29,4,1,3,430,371,371,59,174,197,340,12.837047692165
CIN,7,9,73,21,48,4,1,11,36,4,1,3,468,422,422,81,219,203,441,18.7311823444946,9,50,22,29,0,1,5,23,5,0,5,398,316,316,82,114,202,286,21.2408090465338
CIN,8,8,69,32,37,0,0,11,26,4,2,2,367,249,249,118,73,176,245,18.4312353314369,9,60,29,30,1,1,11,18,3,1,2,441,233,233,218,74,159,271,15.3270633249165
CIN,10,14,64,21,40,4,0,19,21,1,0,1,324,213,213,139,107,106,343,-13.5804644223181,14,66,20,46,0,0,19,27,4,0,4,377,333,319,44,138,181,431,4.32706089899134
CIN,11,12,66,18,44,4,1,18,25,1,0,1,272,233,233,70,89,144,421,-12.199156522024,12,61,34,25,2,1,7,17,2,1,1,325,166,166,164,97,69,143,-3.5997010508832
CIN,12,11,46,15,29,2,1,11,17,1,0,1,155,136,136,40,78,58,202,-17.3638815960574,12,80,42,38,0,0,16,22,1,1,0,386,244,244,142,57,187,323,0.616530607479613
CIN,13,10,50,17,27,6,2,8,17,1,0,1,196,193,193,40,155,38,162,-12.1617966306676,11,66,28,39,0,0,13,26,1,0,1,406,296,296,110,151,145,298,-0.800765749960497
