week,posteam,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa
9,ARI,26,26,3,283,283,0,0,3,5,21,283,3,52,250,231,18.9795007459106
9,ATL,35,35,3,284,284,1,0,7,9,25,284,3,89,336,195,13.5041598826116
9,BAL,23,23,0,170,170,0,0,0,4,19,170,0,104,86,66,9.36920725833625
9,BUF,38,38,3,415,415,0,0,2,7,31,415,3,194,341,221,24.6224209952994
9,CAR,44,44,2,338,338,0,0,4,7,37,335,2,196,250,139,24.3699675396899
9,CHI,47,47,3,335,335,0,0,4,11,36,335,2,137,306,198,3.36495715680519
9,DAL,37,37,1,243,243,1,0,6,15,21,243,1,52,348,191,-3.64048993347424
9,DEN,45,45,2,313,313,1,0,8,19,25,313,2,127,431,186,6.15981912372135
9,DET,44,44,2,305,305,3,0,3,10,31,305,2,167,273,138,-2.95287638881903
9,GNB,30,30,4,305,305,0,0,0,5,25,305,4,131,229,174,22.7180279430468
9,HOU,29,29,2,281,281,0,0,2,10,19,281,2,194,249,87,14.5174828491134
9,IND,40,40,0,227,227,1,0,2,14,25,227,0,169,274,58,-13.1834299023443
9,JAC,38,38,1,304,304,1,0,2,11,26,304,1,135,323,169,6.26027013128532
9,KAN,44,44,4,372,372,0,0,6,14,30,372,4,137,407,235,16.4575472644215
9,LAC,41,41,2,326,326,0,0,5,13,28,326,2,131,309,195,13.8738250692773
9,LVR,23,23,2,165,165,0,0,3,10,13,165,2,56,281,109,3.844125940053
9,MIA,26,26,2,248,248,0,0,0,6,20,248,2,68,234,180,16.334683899634
9,MIN,20,20,3,220,220,0,0,1,7,13,220,3,114,217,106,8.01694928243524
9,NOR,34,34,4,282,282,0,0,2,5,29,282,4,123,187,159,18.7891248490661
9,NWE,34,34,0,274,274,0,0,4,7,27,274,0,106,281,168,14.0105685655226
9,NYG,33,33,1,212,212,0,0,3,10,23,212,1,90,161,122,9.28138103051587
9,NYJ,24,24,3,262,262,1,0,2,5,18,262,3,97,310,165,15.9986288583031
9,PIT,45,45,3,309,309,0,0,2,14,31,309,3,185,328,124,10.6742820472319
9,SEA,40,40,2,390,390,2,0,5,10,28,390,2,145,379,245,15.4342685648297
9,SFO,34,34,1,291,291,1,0,3,11,22,291,1,197,224,94,3.65713831678163
9,TAM,37,37,0,209,209,3,0,5,12,22,209,0,80,365,129,-17.6891206235859
9,TEN,21,21,2,158,158,0,0,3,11,10,158,2,78,215,80,3.35794035937641
9,WAS,39,39,1,387,387,3,0,4,7,29,387,1,277,147,110,4.33237067610269
10,ARI,32,32,1,245,245,1,0,1,9,22,245,1,96,231,149,6.76614286730487
10,BAL,34,34,2,249,249,1,0,0,9,24,249,2,145,259,104,5.50627058072186
10,BUF,45,45,3,296,296,2,0,2,10,33,296,3,166,304,130,5.90743691280356
