week,defteam,noruns,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_rush,touchdown_pass,yards_rushing,yards_after_catch,air_yards,air_yards2,epa
5,DAL,27,33,62,3,300,222,0,2,9,13,20,222,2,0,89,111,194,111,-0.899922010748066
5,HOU,20,49,73,2,364,301,0,4,5,18,31,301,0,2,75,158,295,143,-3.81160100136015
5,IND,33,38,72,2,385,265,2,1,3,14,22,265,0,2,124,81,340,184,2.65446832107926
5,JAC,22,35,58,3,486,359,2,1,5,8,25,359,0,3,129,136,366,223,11.6454923381779
5,KAN,35,31,67,5,490,347,1,1,4,8,22,347,2,3,144,181,271,166,18.9194682611245
5,LAC,25,48,75,3,408,325,1,2,7,14,33,325,2,1,95,100,327,225,-2.98069205617314
5,LAR,14,30,52,1,108,111,0,8,8,12,18,111,1,0,38,102,139,9,-22.8925733925368
5,LVR,20,43,66,4,413,340,1,3,5,20,22,340,2,2,80,161,440,179,10.0159531583186
5,MIA,19,35,59,2,259,171,2,5,9,17,16,171,1,1,131,93,316,78,-17.9315514086924
5,MIN,16,32,52,4,314,217,1,4,9,11,20,217,1,3,124,74,391,143,4.54390618254547
5,NOR,32,33,68,4,345,259,0,3,11,14,19,259,0,4,111,98,379,161,0.679783244683818
5,NYG,29,33,64,4,402,288,1,2,4,8,24,288,2,1,126,103,237,185,1.8694807697597
5,NYJ,30,37,67,4,496,380,1,1,1,9,27,380,3,1,127,152,336,228,15.0281424925184
5,PHI,32,34,67,5,367,239,0,1,2,7,27,239,2,3,136,138,196,101,14.0285337628402
5,PIT,16,36,57,4,336,276,2,5,10,13,21,276,2,2,94,63,474,213,7.26093446249697
5,SEA,41,39,83,3,449,249,1,3,4,11,27,249,1,2,201,96,271,153,8.7769258295294
5,SFO,33,28,63,4,436,350,0,2,6,6,22,350,1,3,94,141,268,209,16.695356219608
5,TAM,14,42,59,2,243,243,1,3,7,11,30,243,1,1,35,91,333,152,-8.95771112273665
5,TEN,22,46,69,2,370,285,2,1,3,15,29,285,0,2,95,69,406,216,2.38562963777101
5,WAS,35,30,66,4,429,309,1,1,1,8,21,309,2,2,129,192,188,117,6.75200297429064
6,ARI,27,54,84,1,344,266,2,3,8,18,34,266,0,1,97,153,301,113,-14.8381607738423
6,ATL,13,36,50,3,365,343,3,1,8,9,24,343,0,3,32,137,330,206,-7.80833961223834
6,BAL,18,40,64,4,364,213,0,6,17,19,21,213,1,2,194,61,369,152,-6.88884823169792
6,BUF,46,26,73,3,466,225,0,1,4,5,21,225,1,2,245,104,161,121,21.9535285896053
6,CAR,25,39,63,2,261,198,1,0,9,15,23,198,1,1,63,88,240,110,-2.59628762059144
6,CHI,29,29,62,1,303,216,2,4,5,11,16,216,1,0,112,75,260,141,-17.4686546275242
6,CIN,15,44,60,4,430,371,1,1,3,14,29,371,1,3,59,174,340,197,12.837047692165
6,CLE,37,23,62,4,277,168,0,2,2,8,15,168,3,1,129,71,172,97,5.1106433303011
6,DAL,35,24,60,5,438,188,0,1,1,15,9,188,3,2,261,117,240,71,19.1368800762116
6,DEN,25,27,56,1,288,195,2,4,8,6,19,195,1,0,117,136,147,59,-14.6198981404305
6,DET,16,44,61,2,275,243,1,1,4,18,25,243,1,1,44,112,417,131,-6.81394628241002
6,GNB,35,28,63,4,324,166,0,0,4,11,17,166,2,2,158,72,231,94,3.29159127735631
6,HOU,27,41,70,6,607,366,1,2,6,10,30,366,2,4,263,158,309,208,28.2019176663246
6,IND,32,39,73,3,398,313,1,2,5,13,25,313,3,0,98,130,344,183,14.5566617517389
6,JAC,39,31,70,4,403,223,1,0,4,11,19,223,3,1,180,94,269,129,8.312749754649
6,KAN,23,27,50,2,206,122,1,0,5,12,14,122,0,2,84,46,272,76,-1.36880485598494
6,LAR,37,33,70,3,390,268,0,0,3,10,23,268,0,3,122,223,145,45,7.76758744766241
6,MIA,22,44,69,0,263,186,1,3,10,22,21,186,0,0,115,98,396,88,-22.5138312031056
6,MIN,37,40,79,4,462,371,0,2,5,10,30,371,0,4,99,171,270,200,12.5653355563931
6,NWE,37,24,63,0,299,189,2,2,4,12,10,189,0,0,135,50,391,139,-8.0818069328677
6,NYG,24,42,69,3,337,280,1,3,9,10,31,280,0,2,86,149,244,131,0.556953816752615
6,NYJ,25,29,56,3,302,200,2,2,3,7,20,200,0,3,110,115,220,85,-4.14765052245041
6,PHI,37,27,67,3,355,186,0,3,3,11,16,186,2,1,182,88,186,98,2.10263889008465
6,PIT,22,28,54,2,220,165,2,4,7,11,15,165,0,1,75,86,144,79,-27.8055603547837
6,SFO,19,38,57,2,311,198,1,0,2,18,19,194,0,2,113,51,455,143,1.06432640062545
6,TAM,21,35,61,2,201,160,2,5,12,17,16,160,1,0,94,81,298,79,-18.248785998928
6,TEN,27,38,66,5,412,335,0,2,5,10,28,335,1,4,92,112,334,223,19.9477509592883
6,WAS,26,19,46,1,240,112,1,1,5,6,12,112,0,1,132,38,151,74,-3.1138470019196
7,ARI,30,50,82,4,572,388,3,2,9,14,33,388,1,3,200,158,451,230,9.32294774641612
7,ATL,21,36,55,2,386,340,0,2,6,11,25,340,1,1,64,80,337,260,6.51530496954037
7,BUF,22,23,51,1,191,120,2,6,7,9,12,120,1,0,100,39,149,81,-13.1928910551042
7,CAR,29,37,66,3,415,287,0,1,3,7,30,287,1,2,138,138,177,149,13.91244009557
7,CHI,34,33,68,4,371,220,0,1,5,10,23,220,1,2,160,120,268,100,-8.73730432680353
7,CIN,22,29,50,5,398,316,1,0,6,5,23,316,0,5,82,114,286,202,21.2408090465338
7,CLE,21,48,73,4,468,422,1,4,6,11,36,422,1,3,81,219,441,203,18.7311823444946
7,DAL,39,25,66,3,397,194,0,2,4,10,15,194,1,2,208,70,197,124,8.2547389285608
7,DEN,22,25,51,3,286,213,0,4,7,8,17,213,2,1,101,131,166,82,3.06260576954548
7,DET,26,42,70,3,388,338,0,2,6,11,31,338,2,1,66,103,283,235,4.54828692047158
7,GNB,22,39,64,2,365,309,0,3,4,10,29,309,0,2,79,133,248,176,-1.44240609116403
7,HOU,27,34,61,5,379,283,0,0,1,11,23,283,1,4,96,167,233,116,17.3138392318506
7,JAC,32,44,77,5,484,351,0,1,5,16,28,351,2,3,135,199,383,152,11.3741473920416
7,KAN,33,40,76,3,411,254,2,3,6,14,24,254,2,0,177,164,265,90,-19.188788512628
7,LAC,27,27,59,3,294,173,0,5,7,13,14,173,1,2,140,68,252,105,-5.84420060837874
7,LAR,17,40,61,0,279,261,2,4,7,10,28,261,0,0,49,112,449,149,-23.4928909575129
7,LVR,25,45,68,6,454,369,0,0,1,12,33,369,2,4,85,134,399,235,23.8104342650284
7,NOR,14,28,43,3,283,254,0,1,2,5,23,254,1,2,37,158,186,96,12.7855251687071
7,NWE,37,25,63,4,467,277,2,1,2,3,20,277,4,0,197,184,160,93,24.6607442391325
7,NYG,26,43,72,3,442,359,1,3,10,17,25,359,1,2,96,115,374,244,1.54338619558248
7,NYJ,27,43,72,0,422,307,0,2,3,13,30,307,0,0,126,172,308,135,5.3040840992894
7,PHI,22,30,55,3,325,187,1,3,8,9,20,187,1,2,160,97,180,90,-2.91631651186617
7,PIT,23,31,56,3,292,220,0,2,7,13,18,220,1,2,82,108,265,112,2.21606304447499
7,SEA,33,48,77,4,519,360,1,0,0,13,34,360,1,3,159,175,387,185,5.53705152218454
7,SFO,22,25,49,0,241,162,4,2,2,6,15,162,0,0,94,72,203,90,-16.2706369534689
7,TAM,24,36,63,2,347,284,1,3,5,11,24,284,0,2,76,137,315,147,-6.76420672713412
7,TEN,25,49,74,3,362,268,3,0,5,14,32,268,1,2,94,158,266,110,8.856327193417
7,WAS,26,22,54,0,142,114,1,6,8,10,11,114,0,0,83,52,160,62,-16.1204588081084
8,ATL,22,27,52,2,304,179,1,3,6,10,16,176,1,1,147,72,221,104,-2.61239606141569
8,BAL,16,32,50,3,221,182,0,2,5,11,21,182,1,2,48,93,232,89,-0.773356106539723
8,BUF,34,25,61,2,349,174,0,2,5,10,15,174,2,0,188,92,143,82,5.00743375936074
8,CAR,36,30,68,2,401,281,1,2,5,8,21,281,2,0,131,90,258,191,13.4383042657528
8,CHI,30,41,72,2,394,280,0,1,2,10,31,280,0,2,122,169,190,111,4.62922000057764
8,CIN,29,30,60,3,441,233,1,1,5,11,18,233,1,2,218,74,271,159,15.3270633249165
8,CLE,45,24,70,1,309,111,0,2,2,9,15,111,0,1,209,60,140,51,9.91793875578751
8,DAL,26,28,58,2,222,132,2,4,6,10,16,132,0,2,119,32,304,100,-18.2852819958353
8,DEN,38,44,84,3,485,278,2,2,4,13,29,278,0,3,210,140,296,138,3.05636433762866
8,DET,39,34,75,5,366,262,0,2,4,11,23,262,2,3,119,143,224,119,11.6374496592325
8,GNB,34,14,49,4,324,160,0,1,1,3,11,160,3,1,173,131,25,29,18.8787446902716
8,IND,13,42,59,4,326,336,1,5,8,17,24,336,0,3,29,142,398,194,-12.6201239854528
8,KAN,25,30,55,0,221,133,0,1,5,12,18,133,0,0,93,74,193,59,-13.3308199959849
8,LAC,16,41,58,4,351,248,1,2,5,14,26,248,1,3,108,115,308,133,4.44106955456824
8,LAR,25,22,48,2,145,93,0,1,2,10,12,93,1,1,55,47,118,46,-23.1835270414886
8,LVR,22,25,47,0,223,122,0,0,1,13,12,122,0,0,101,74,193,48,-1.36564779502976
8,MIA,29,61,91,3,471,355,2,2,9,24,35,355,1,1,131,200,365,155,-23.2816674210489
8,MIN,24,41,65,3,400,291,0,1,2,14,27,291,0,3,109,125,334,166,11.5004918146878
8,NOR,23,41,69,2,329,272,1,5,7,12,28,272,0,2,96,64,326,208,-5.55754180285621
8,NWE,38,18,57,3,339,154,1,1,4,6,11,154,3,0,190,83,179,71,9.09390370224121
8,NYG,24,40,66,2,344,279,0,2,4,12,28,279,0,2,81,94,364,185,1.41716950881209
8,NYJ,20,47,67,5,496,446,0,0,3,12,35,446,0,5,50,213,403,233,19.8689796125982
8,PHI,35,40,78,1,265,180,0,4,7,19,21,180,0,0,133,120,313,60,-27.019778466643
8,PIT,47,28,78,4,457,208,2,4,9,13,13,208,1,2,265,77,232,131,-5.87132205742904
8,SEA,22,41,66,4,351,322,1,3,8,11,29,322,2,2,52,114,291,208,13.8695131346467
8,SFO,28,37,67,5,350,261,0,2,3,10,27,261,1,4,101,128,260,133,16.0731528599512
8,TAM,24,42,69,3,357,274,2,3,11,14,26,274,1,2,101,140,320,134,3.32679842681486
8,TEN,32,37,69,4,367,249,0,0,2,11,26,249,2,2,118,73,245,176,18.4312353314369
9,ARI,25,28,55,3,312,248,0,3,3,8,20,248,1,2,91,68,229,180,8.33040935191657
9,ATL,22,48,71,3,405,313,1,1,10,22,25,313,1,2,103,127,440,186,-2.362669827205
9,BAL,21,44,63,2,339,227,1,0,2,18,25,227,1,0,112,169,270,58,-23.4127073568937
9,BUF,17,41,63,4,419,390,2,5,11,11,28,390,2,2,57,145,380,245,1.52571487860389
9,CAR,11,45,57,4,397,372,0,2,8,15,30,372,0,4,36,137,407,235,14.35138376391
9,CHI,31,21,55,2,228,158,0,3,6,11,10,158,0,2,92,78,215,80,-6.39912097850112
9,DAL,18,45,63,3,355,309,0,0,2,14,31,309,0,3,46,185,328,124,2.50526719444685
9,DEN,32,35,69,4,363,284,1,2,9,9,25,284,1,3,92,89,336,195,1.44912020646836
9,DET,34,20,55,5,487,220,0,1,2,7,13,220,2,3,275,114,217,106,15.2218715040945
9,GNB,17,35,53,2,337,291,1,1,5,12,22,291,1,1,55,197,224,94,-3.86743061587318
9,HOU,27,38,67,3,403,304,1,2,4,11,26,304,2,1,115,135,323,169,1.52940363416473
9,IND,38,23,63,2,266,170,0,2,2,4,19,170,2,0,110,104,86,66,-0.0194618788922933
9,JAC,28,32,62,3,374,281,0,2,4,13,19,281,1,2,107,194,291,87,4.4695526333952
9,KAN,24,50,75,4,435,338,0,2,9,13,37,335,2,2,104,196,280,139,24.1248737230963
9,LAC,26,23,50,4,320,165,0,1,3,10,13,165,2,2,160,56,281,109,8.99997957664822
9,LVR,31,42,74,3,440,326,0,2,7,14,28,326,1,2,128,131,309,195,9.81290638420853
9,MIA,37,26,64,5,442,283,0,1,4,5,21,283,1,3,178,52,250,231,9.69111603168854
9,MIN,27,45,73,2,421,305,3,2,5,11,31,305,0,2,129,167,273,138,-7.00496168915782
9,NOR,5,38,46,0,194,209,3,3,9,13,22,209,0,0,8,80,365,129,-24.5691554165214
9,NWE,18,25,44,3,322,262,1,1,4,6,18,262,0,3,65,97,315,165,13.3368052853047
9,NYG,9,39,50,2,402,387,3,2,6,7,29,387,1,1,37,277,147,110,-0.495871513730271
9,NYJ,41,35,75,3,433,274,0,0,4,8,27,274,3,0,159,106,281,168,16.7163213562685
9,PIT,31,38,70,1,364,243,1,2,8,16,21,243,0,1,144,52,348,191,-8.99498267971402
9,SEA,19,38,64,5,420,415,0,7,9,7,31,415,2,3,34,194,341,221,13.9748913058027
9,SFO,31,31,63,4,405,305,0,1,1,6,25,305,0,4,111,131,229,174,17.673942271157
9,TAM,37,35,73,5,420,282,0,1,3,6,29,282,1,4,138,123,179,159,12.082779537118
9,TEN,20,52,75,3,375,335,0,3,9,16,36,335,0,2,56,137,320,198,-12.1591739544716
9,WAS,35,34,74,2,350,212,0,5,8,11,23,212,1,1,166,90,181,122,0.00287832247929942
10,ARI,18,50,68,3,369,296,2,0,4,15,33,296,0,3,73,166,343,130,-0.638096234348548
10,BAL,39,18,59,3,308,142,0,1,3,4,14,142,1,2,173,66,106,76,8.80688498482553
10,BUF,35,32,70,3,453,245,1,3,4,9,22,245,2,1,217,96,231,149,4.85331186835736
